feature,lower_bound,upper_bound,outlier_count_train,outlier_percentage_train
satisfaction_score,1.5,5.5,609,5.08
delivery_delay_days,-1.0,7.0,148,1.23
age,7.0,63.0,69,0.57
support_tickets,-2.0,6.0,68,0.57
total_spent,-304.36578394638536,1308.4743766257225,61,0.51
avg_order_value,-7.582443297185613,127.064478289106,50,0.42
lifetime_value,-682.2877074201758,3097.1500029800573,43,0.36
avg_session_time,-0.12884771815843177,16.176699607250498,37,0.31
total_visits,3.0,27.0,31,0.26
pages_per_session,-0.03434787562174746,8.058550120346052,30,0.25
email_open_rate,-0.525,1.5150000000000001,0,0.0
email_click_rate,-0.245,0.755,0,0.0
nps_score,-7.0,17.0,0,0.0
marketing_spend_per_user,-7.340000000000003,42.42,0,0.0
last_3_month_purchase_freq,-9.0,23.0,0,0.0
customer_tenure_days,-796.5,1319.5,0,0.0
recency_days,-413.5,1214.5,0,0.0
